epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.042,1.48883,3.57013,1.44521,0.03602,0.66802,0.25878,0.15787,1.0662,3.32997,1.0523,0.00021435,0.00021435,0.00021435
2,221.138,1.3872,2.05345,1.30391,0.91471,0.40017,0.55076,0.38684,1.24678,2.4169,1.1934,0.000434219,0.000434219,0.000434219
3,299.436,1.32457,1.52789,1.23472,0.89728,0.50153,0.57125,0.3655,1.56735,2.47609,1.3576,0.000645033,0.000645033,0.000645033
4,376.794,1.2579,1.29915,1.20118,0.86167,0.58626,0.56547,0.3569,1.606,1.61481,1.26376,0.000846794,0.000846794,0.000846794
5,631.678,1.25213,1.21257,1.18384,0.77719,0.73306,0.83197,0.49014,1.51705,1.38967,1.24125,0.0010395,0.0010395,0.0010395
6,760.194,1.19751,1.0998,1.17516,0.80674,0.86483,0.89523,0.584,1.16087,1.22709,1.12297,0.00122315,0.00122315,0.00122315
7,844.82,1.20224,1.05859,1.16102,0.83355,0.90824,0.89376,0.59711,1.14828,1.10994,1.16413,0.00125923,0.00125923,0.00125923
8,923.235,1.16003,1.00053,1.14194,0.85781,0.92073,0.90336,0.60834,1.05824,1.00839,1.14239,0.00123094,0.00123094,0.00123094
9,2790.09,1.12005,0.95035,1.13638,0.84077,0.91548,0.89499,0.57755,1.15883,1.07292,1.10143,0.00120265,0.00120265,0.00120265
10,2918.85,1.09494,0.94126,1.11083,0.84616,0.92497,0.90496,0.60091,1.11253,0.9281,1.11939,0.00117435,0.00117435,0.00117435
11,2997.46,1.11435,0.93637,1.126,0.85857,0.92138,0.90955,0.58579,1.16673,1.12412,1.13086,0.00114606,0.00114606,0.00114606
12,3093.94,1.10742,0.93935,1.12001,0.83048,0.93113,0.91184,0.61542,1.10254,0.95608,1.113,0.00111776,0.00111776,0.00111776
13,3174.55,1.11106,0.93139,1.13623,0.84357,0.90725,0.9055,0.61998,1.04312,0.88352,1.11873,0.00108947,0.00108947,0.00108947
14,3250.8,1.0958,0.91781,1.12051,0.84956,0.90937,0.91005,0.62622,1.13091,0.93789,1.152,0.00106118,0.00106118,0.00106118
15,4286.2,1.09939,0.87618,1.12475,0.84246,0.89255,0.8984,0.57852,1.11058,0.91429,1.15599,0.00103288,0.00103288,0.00103288
16,4382.08,1.11492,0.86488,1.11664,0.81999,0.91894,0.8995,0.5976,1.11371,0.89351,1.12582,0.00100459,0.00100459,0.00100459
17,5025.52,1.07058,0.86311,1.11008,0.85262,0.91721,0.90393,0.62785,1.06007,0.86725,1.10743,0.000976293,0.000976293,0.000976293
18,5145.02,1.07102,0.88093,1.12113,0.83556,0.92051,0.9154,0.6302,1.06968,0.91567,1.1291,0.000947999,0.000947999,0.000947999
19,5235.04,1.06895,0.83405,1.10693,0.8475,0.91354,0.9041,0.5951,1.08566,0.85888,1.12888,0.000919704,0.000919704,0.000919704
20,5619.15,1.07341,0.85276,1.10927,0.83719,0.92174,0.91129,0.62984,1.05946,0.87599,1.10477,0.00089141,0.00089141,0.00089141
21,5700.62,1.08086,0.85985,1.12344,0.84281,0.92584,0.91216,0.62599,1.04314,0.92449,1.12974,0.000863116,0.000863116,0.000863116
22,6500.53,1.06454,0.84713,1.10447,0.86373,0.90327,0.91582,0.62689,1.05695,0.97243,1.14065,0.000834822,0.000834822,0.000834822
23,6595.42,1.08957,0.8289,1.1038,0.8616,0.89542,0.90352,0.6,1.25171,0.85434,1.18118,0.000806528,0.000806528,0.000806528
24,7656.4,1.0641,0.8256,1.11449,0.83782,0.91725,0.91993,0.63227,1.16019,0.82797,1.14221,0.000778233,0.000778233,0.000778233
25,7739.07,1.04555,0.825,1.10674,0.85207,0.8999,0.91608,0.63734,1.08675,0.81846,1.1114,0.000749939,0.000749939,0.000749939
26,7816.56,1.05782,0.80361,1.10001,0.85481,0.92016,0.92203,0.64277,1.03775,0.82725,1.0967,0.000721645,0.000721645,0.000721645
27,8097.45,1.01526,0.78142,1.07227,0.85545,0.91373,0.92476,0.63972,1.01668,0.83368,1.10138,0.000693351,0.000693351,0.000693351
28,8181.71,1.03178,0.78653,1.08798,0.83755,0.92168,0.9189,0.64097,1.04232,0.80935,1.09327,0.000665057,0.000665057,0.000665057
29,8259.45,1.03247,0.7888,1.08454,0.84612,0.9168,0.91862,0.64066,1.06591,0.78455,1.09448,0.000636762,0.000636762,0.000636762
30,8341.43,1.03087,0.78068,1.07816,0.82775,0.93543,0.91465,0.63695,1.04029,0.83556,1.08276,0.000608468,0.000608468,0.000608468
31,9157.6,1.01414,0.75991,1.08197,0.83854,0.93402,0.92486,0.64313,1.04199,0.81311,1.09816,0.000580174,0.000580174,0.000580174
32,9238.21,1.00267,0.74554,1.06807,0.86317,0.92127,0.92584,0.65245,1.01559,0.75554,1.07926,0.00055188,0.00055188,0.00055188
33,9567.9,1.01678,0.76908,1.07267,0.8496,0.93233,0.92067,0.64717,1.03239,0.77435,1.08774,0.000523586,0.000523586,0.000523586
34,9650.53,0.99714,0.75372,1.06906,0.85145,0.92236,0.92611,0.6498,1.02894,0.75911,1.10456,0.000495291,0.000495291,0.000495291
35,9734.27,1.02363,0.75537,1.07346,0.85749,0.9301,0.92638,0.63637,1.04835,0.76832,1.09912,0.000466997,0.000466997,0.000466997
36,9815.81,1.01403,0.74539,1.07886,0.8601,0.91169,0.92494,0.63711,1.02654,0.76349,1.09069,0.000438703,0.000438703,0.000438703
37,10051.8,1.01607,0.74843,1.06639,0.85895,0.91996,0.93139,0.64528,1.02939,0.76646,1.09036,0.000410409,0.000410409,0.000410409
38,10157.9,0.99713,0.71948,1.05493,0.86154,0.92357,0.9282,0.64322,1.07889,0.74247,1.10289,0.000382115,0.000382115,0.000382115
39,10509.8,0.9934,0.72244,1.06747,0.85551,0.91557,0.92957,0.65214,1.01003,0.73974,1.08516,0.00035382,0.00035382,0.00035382
40,10625.3,0.98323,0.71618,1.06623,0.85371,0.90846,0.92295,0.64659,1.00987,0.76453,1.07803,0.000325526,0.000325526,0.000325526
41,10705.2,0.97904,0.84954,1.05558,0.84439,0.91104,0.91701,0.62968,1.02583,0.80033,1.07823,0.000297232,0.000297232,0.000297232
42,10782.9,0.96837,0.75249,1.04943,0.85286,0.92311,0.92246,0.63743,1.00887,0.79516,1.09392,0.000268938,0.000268938,0.000268938
43,10868.3,0.95268,0.71277,1.04259,0.86799,0.92117,0.91725,0.64311,1.01062,0.7893,1.09029,0.000240644,0.000240644,0.000240644
44,10945.3,0.94607,0.70003,1.03531,0.86954,0.92444,0.92658,0.65361,1.01574,0.76439,1.08254,0.000212349,0.000212349,0.000212349
45,11022.8,0.94759,0.67445,1.02979,0.86221,0.93128,0.92692,0.63929,1.02019,0.76053,1.07602,0.000184055,0.000184055,0.000184055
46,11133.9,0.94182,0.66812,1.03854,0.85895,0.92616,0.92941,0.65095,1.02597,0.76589,1.07248,0.000155761,0.000155761,0.000155761
47,11228.3,0.9464,0.66685,1.03082,0.86788,0.91291,0.92934,0.65234,1.02692,0.76101,1.07449,0.000127467,0.000127467,0.000127467
48,11309.2,0.92453,0.65177,1.01857,0.84762,0.91779,0.92638,0.65011,1.01489,0.75604,1.0743,9.91726e-05,9.91726e-05,9.91726e-05
49,11395.5,0.92712,0.66058,1.032,0.86125,0.90913,0.9237,0.65075,1.01577,0.7454,1.07004,7.08784e-05,7.08784e-05,7.08784e-05
50,11482.6,0.92237,0.64804,1.02082,0.86809,0.90222,0.92447,0.65012,1.01597,0.74068,1.06871,4.25842e-05,4.25842e-05,4.25842e-05
